"permissionId", "declaringType","returnType","name","argTypes"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/pm/PackageManagerService;","V","freeStorageAndNotify","JLandroid/content/pm/IPackageDataObserver;"
"android.permission.CLEAR_APP_CACHE", "Landroid/content/pm/IPackageManager$Stub$Proxy;","V","freeStorageAndNotify","JLandroid/content/pm/IPackageDataObserver;"
"android.permission.CLEAR_APP_CACHE", "Landroid/content/pm/IPackageManager$Stub;","V","freeStorageAndNotify","JLandroid/content/pm/IPackageDataObserver;"
"android.permission.CLEAR_APP_CACHE", "Landroid/content/pm/IPackageManager$Stub;","Z","onTransact","ILandroid/os/Parcel;Landroid/os/Parcel;I"
"android.permission.CLEAR_APP_CACHE", "Landroid/content/pm/IPackageManager;","V","freeStorageAndNotify","JLandroid/content/pm/IPackageDataObserver;"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/pm/PackageManagerService;","Z","onTransact","ILandroid/os/Parcel;Landroid/os/Parcel;I"
"android.permission.CLEAR_APP_CACHE", "Landroid/app/ApplicationPackageManager;","V","freeStorageAndNotify","JLandroid/content/pm/IPackageDataObserver;"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/commands/pm/Pm;","I","runTrimCaches",""
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/storage/DeviceStorageMonitorService;","V","clearCache",""
"android.permission.CLEAR_APP_CACHE", "Lcom/android/commands/pm/Pm;","I","run","[Ljava/lang/String;"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/storage/DeviceStorageMonitorService;","V","checkMemory","Z"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/commands/pm/Pm;","V","main","[Ljava/lang/String;"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/storage/DeviceStorageMonitorService;","V","onStart",""
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/SystemService;","V","onStart",""
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/SystemServiceManager;","Lcom/android/server/SystemService;","startService","Ljava/lang/Class;"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/SystemServer;","V","startBootstrapServices",""
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/SystemServer;","V","startCoreServices",""
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/SystemServer;","V","startOtherServices",""
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/SystemServiceManager;","Lcom/android/server/SystemService;","startService","Ljava/lang/String;"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/SystemServer;","V","run",""
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/SystemServer;","V","main","[Ljava/lang/String;"
"android.permission.CLEAR_APP_CACHE", "Lcom/android/server/pm/PackageManagerService;","V","freeStorage","JLandroid/content/IntentSender;"
"android.permission.CLEAR_APP_CACHE", "Landroid/content/pm/IPackageManager$Stub$Proxy;","V","freeStorage","JLandroid/content/IntentSender;"
"android.permission.CLEAR_APP_CACHE", "Landroid/content/pm/IPackageManager$Stub;","V","freeStorage","JLandroid/content/IntentSender;"
"android.permission.CLEAR_APP_CACHE", "Landroid/content/pm/IPackageManager;","V","freeStorage","JLandroid/content/IntentSender;"
"android.permission.CLEAR_APP_CACHE", "Landroid/app/ApplicationPackageManager;","V","freeStorage","JLandroid/content/IntentSender;"
"android.permission.GET_PACKAGE_SIZE", "Lcom/android/server/pm/PackageManagerService;","V","getPackageSizeInfo","Ljava/lang/String;ILandroid/content/pm/IPackageStatsObserver;"
"android.permission.GET_PACKAGE_SIZE", "Landroid/content/pm/IPackageManager$Stub$Proxy;","V","getPackageSizeInfo","Ljava/lang/String;ILandroid/content/pm/IPackageStatsObserver;"
